panel_slug,name_nl,department_slug,fixture_type,sort,aisle_group_ids,head_terms,products,chains,min_price_eur,top_form,sample_names,notes
toast,Toast,ontbijt-beleg,shelf,120,6,toast,56,6,0.53,houdbaar,Jos Poell Krokant toast | Jos Poell Toast Vierkant 60 g | Jos Poell Toast krokant,
proteinerepen,Proteïnerepen,tussendoortjes,shelf,10,12,proteïnereep;protein bar;proteïne reep;eiwitreep,255,6,0.99,bewerkt,Proteïne reep | Upfront Eiwitreep pistache framboos | HIPRO Proteine bar karamel,
knijpfruit,Knijpfruit,tussendoortjes,shelf,20,7;1,knijpfruit,188,6,0.95,bewerkt,"Jumbo Biologisch Knijpfruit Banaan, Zoete Aardappel, Appel & Mango 8+ Maanden 90 g | Bonbebe knijp appel wortel banaan +6m | AH Biologisch Knijpfruit appel wortel 6m+",
ontbijtkoek,Ontbijtkoek,tussendoortjes,shelf,30,11;6,ontbijtkoek,132,6,0.84,bewerkt,Jumbo Ontbijtkoek Naturel 280 g | Peijnenburg Ontbijtkoek gesneden geen suiker | Peijnenburg Ontbijtkoek naturel ongesneden,
rijstwafels,Rijstwafels,tussendoortjes,shelf,40,12;7;11,rijstwafels;rijstwafel;maiswafels,78,5,0.55,bewerkt,1 de Beste Rijstwafels dun met zeezout | Jumbo Rijstwafels Naturel 130 g | Jumbo Mini Rijst & Maïswafels 30 g,
mueslirepen,Mueslirepen,tussendoortjes,shelf,50,12;11,mueslireep;mueslirepen;granolareep,57,5,1.25,bewerkt,Hero mueslireep melkchocolade | Hero mueslireep hazelnoot | Jumbo Mueslireep Naturel 6 Stuks,
eierkoeken,Eierkoeken,tussendoortjes,shelf,60,6,eierkoeken,21,5,1.23,bewerkt,Jumbo Eierkoeken 10 Stuks | Jumbo Eierkoeken Volkoren 300 g | Jumbo Mini Eierkoeken 10 Stuks,
ijs,IJs,diepvries,freezer,10,14,ijs;ijsjes;roomijs;sorbetijs;slagroomijs;waterijs,509,6,0.79,diepvries,Swirl ijs | Crushed ijs | Ben & Jerry's Strawberry cheesecake,
pizza,Diepvriespizza,diepvries,freezer,20,14,pizza,101,6,1.73,diepvries,1 de Beste Krokante pizza quatro formaggi | 1 de Beste Krokante pizza hawaii | 1 de Beste Krokante pizza tonijn,
friet,Friet & frites,diepvries,freezer,30,14,friet;frites;patat,96,6,0.97,diepvries,AH Mini friet paprika | AH Mini friet naturel | AH Mini friet sour cream,
vissticks,Vissticks,diepvries,freezer,40,14,vissticks,51,6,1.59,diepvries,Krokante vissticks | Vis Marine Vissticks 15 stuks | AH Vissticks,
bitterballen,Bitterballen,diepvries,freezer,50,14,bitterballen,42,6,1.99,diepvries,AH Rundvlees bitterballen | Jumbo Vegan Bitterballen Airfryer & Oven ca. 12 Stuks | Jumbo Kaas Bitterballen Airfryer & Oven Wapenaer 10 Stuks,
kroketten,Kroketten,diepvries,freezer,60,14,kroketten,19,6,1.50,diepvries,kroketten oven | Jumbo Rundvlees Kroketten 4 Stuks | 1 de Beste Oven kroketten 4 st.,
kipnuggets,Kipnuggets,diepvries,freezer,70,14,kipnuggets,18,6,2.49,diepvries,Kipnuggets | Mora Mini's kipnuggets | Mora Mini's Kipnuggets 252 g,
aardappelschijfjes,Aardappelschijfjes,diepvries,freezer,80,14,aardappelschijfjes,11,6,0.97,diepvries,1 de Beste Aardappelschijfjes | Aardappelschijfjes | 1 de Beste Aardappelschijfjes,
kibbeling,Kibbeling,diepvries,freezer,90,14,kibbeling,10,6,2.95,diepvries,Vis Marine Kibbeling voorgebakken | Kibbeling | Voorgebakken kibbeling,
maaltijd-diepvries,Diepvriesmaaltijden,diepvries,freezer,100,14,maaltijd,29,5,1.99,diepvries,Smuldier Smuldier Eend Compleet 400g | Smuldier Smuldier Lam Compleet 400g | Jumbo's Vriesverse Maaltijd Couscous Vegan 450g,
